run,code_commit,uncommitted,config,artifacts,metrics,scope
demo-original,a5e4ec0ee4e5a5e0bd874dcd3395faa0c334c87b,M foliorecall/encoding.py,indexes/demo-original/run.json,indexes/demo-original;outputs/demo-query-check.json,"{""pages"":45,""seconds"":41.395759862000006,""gpu"":""NVIDIA GeForce RTX 4060 Laptop GPU"",""peak_cuda_bytes"":4550076928}",45 PDF pages; manually checked query top-1 physical page 10; code diff archived in run folder
hr-original,7b1bf91b71fb43e15aa4bdebf9cc03e2c105ec35,,outputs/hr-original/run.json,indexes/hr-original;outputs/hr-original/result.json,"{""metrics"":{""nDCG@10"":0.5950875814806775,""Recall@5"":0.5889723389355741,""Recall@10"":0.6828956582633052},""query_seconds"":{""p50"":0.05201191900005142,""p95"":0.06739425824993077},""peak_cuda_bytes"":4273409536}",1110 candidates;20 English queries;seed 42;early flow check only;warm query timing excludes model loading
train-smoke,7b1bf91b71fb43e15aa4bdebf9cc03e2c105ec35,,outputs/train-smoke/run.json,outputs/train-smoke/result.json;outputs/train-smoke/adapter;outputs/train-smoke/index,"{""losses"":[0.16730785369873047,0.036332130432128906,0.015513420104980469,0.02885293960571289],""updated_tensors"":224,""trainable_parameters"":3211264,""reload_max_abs_diff"":0.0,""training_seconds"":221.0685955859999,""peak_cuda_bytes"":7559066624,""frozen_gradients_absent"":true}",8 train and 4 dev queries;page-level split;first-1000-row sample;no quality-gain claim
stage2-profile,6d5e4a3c7a4a2b8e2eaeb74996fc1c5cd633b621,,outputs/stage2/profile/settings.json,outputs/stage2/profile;outputs/stage2/resource-summary.json,"{""steps"": 8, ""training_segment_seconds"": 279.722352306, ""peak_cuda_bytes"": 7677177856, ""updated_tensors"": 224, ""reload_max_abs_diff"": 0.00022792071104049683}",32 training-side queries; checkpoint 4 resume to 8; split and model initialization seed 42; effective sampler seed 0; historical config and metrics preserved; legacy batching format cannot resume under batching_version=2; resource and backward check only; not teacher candidate
vdr-dev-original,6d5e4a3c7a4a2b8e2eaeb74996fc1c5cd633b621,README.md and development plan only; diff archived in outputs/stage2/dev-original,outputs/stage2/dev-original/run.json,indexes/vdr-dev-original;outputs/stage2/dev-original/result.json,"{""metrics"": {""nDCG@10"": 0.969235924165368, ""Recall@5"": 0.995, ""Recall@10"": 0.995}, ""query_seconds"": {""p50"": 0.030895982999936678, ""p95"": 0.039100824350032315}, ""build_seconds"": 497.65816737}",200 fixed internal development queries; 1000 complete candidates; no external-test claim; near ceiling
train-fixes-nondeterministic,6a3c702cdb13528fc075e926a202127650483757,training fixes/config/test changes; actual diff archived in run-from directory,outputs/stage2/train-fixes-validated/settings.json,outputs/stage2/train-fixes-recovery-check/result.json;outputs/stage2/train-fixes-validated,"{""continuous_vs_resume_vector_max_abs_diff"": 0.006913309916853905, ""adapter_max_abs_diff"": 0.0001480579376220703, ""peak_training_cuda_bytes"": 7670318592}",8 train/4 dev regression only; seed42 but numerical replay differs; retained negative diagnostic result
train-fixes-deterministic,6a3c702cdb13528fc075e926a202127650483757,training fixes/config/test changes; actual diff archived in run-from directory,outputs/stage2/train-deterministic/settings.json,outputs/stage2/deterministic-recovery-check/result.json;outputs/stage2/train-deterministic,"{""continuous_vs_resume_vector_max_abs_diff"": 0.0, ""adapter_max_abs_diff"": 0.0, ""peak_training_cuda_bytes"": 7653484032}",8 train/4 dev regression only; full_determinism; 224 adapter tensors and two page vectors exactly match after resume
stage2-profile-seed42-deterministic,d6e59d779f3ceb9faa7f0b48d33d823207990769,,outputs/stage2/profile-seed42-deterministic/run-from-0-1789040854727765116/run.json,outputs/stage2/profile-seed42-deterministic;outputs/stage2/resource-summary-seed42-deterministic.json;outputs/stage2/page-spot-check.json,"{""steps"": 8, ""query_presentations"": 32, ""segment_seconds"": 213.849693047, ""invocation_seconds"": 285.869617504, ""peak_cuda_bytes"": 7656562688, ""reload_max_abs_diff"": 0.00031766295433044434, ""recommended_local_hours"": 8}","seed42;batching_version2;full_determinism;continuous 8 steps;224 tensors updated;frozen/finite/reload/probe passed;13 assistant visual reviews, unchanged labels;resource only, no main training or teacher selection"
stage2-lora-budget-stop-339,b25f6f96c08859e10dfb091304b24f158b906757,,outputs/stage2/lora/run-from-0-1789057229319970889/run.json,outputs/stage2/lora/result-step-339.json;outputs/stage2/lora/checkpoint-339;outputs/stage2/lora.log,"{""completed_steps"": 339, ""complete"": false, ""query_presentations"": 1356, ""dev_metrics"": {""nDCG@10"": 0.9780945592738104, ""Recall@5"": 0.99, ""Recall@10"": 0.995}, ""dev_build_seconds"": 4597.988637720999, ""step_training_seconds"": 28925.46725243101, ""segment_seconds"": 33686.521396956, ""invocation_seconds"": 33754.124094948995}",budget stop;339/750 steps;224 tensors updated;finite/frozen checks passed;1000 candidates/200 internal queries;checkpoint339 reload/resume not yet tested;no final baseline/teacher claim
stage2-lora-complete750,b5cc725c90eac0dff045931e834960f2d891cc98,,outputs/stage2/lora/run-from-339-1789100353174272785/run.json,outputs/stage2/lora;outputs/stage2/lora-resume-339.log;outputs/stage2/lora-resume-339-launch.json,"{""completed_steps"": 750, ""complete"": true, ""resume_segment_seconds"": 10077.999016497}",339->750 resumed;checkpoint-only;final checkpoint saved;independent development evaluation running;no final quality conclusion
stage2-lora-final-dev,8290974c25432f7558abc2a1127272cbd0ee945d,,outputs/stage2/lora/checkpoint-750/dev-evaluation/run.json,outputs/stage2/lora/quality-analysis.json;outputs/stage2/lora/checkpoint-750/dev-index;outputs/stage2/lora/checkpoint-750/dev-evaluation/result.json,"{""nDCG@10"": 0.9777371901428583, ""Recall@5"": 0.995, ""Recall@10"": 0.995}",fixed200/1000;matched qrels recomputation;10 better/5 worse;4 assistant visual cases;labels unchanged;no teacher selected;build provenance in index/run.json
